the_geom,VENUE_RECN,FULL_NAME,LEVEL_1_NA,LEVEL_2_NA,LEVEL_3_NA,BOOKABLE,EVENT,PROMOTION,TRAINING,WEDDING,SUSTAINABI,SPORT,NO_SMOKING,DOG_PROHIB,DOG_OFF_LE,PROP_ID,ROADSEG_ID,ADDRESSPT_,ADDRESSPT1,ADDRESSP_1
POINT (144.97385088402874 -37.82111847849652),435,Alexandra Gardens:  AG - Palm Lawn,Alexandra Gardens,AG - Palm Lawn,,Y,Y,,Y,N,H,,N,N,N,"101,101",0,"503,001",90.69921323,167
POINT (144.9414879659226 -37.805606405436144),386,Other Park Locations:  Railway & Miller St Reserve,Other Park Locations,Railway & Miller St Reserve,,Y,Y,,N,N,L,,N,N,N,"110,908",0,"110,908",21.27300622,321
POINT (144.95582905318707 -37.7874641957267),255,Royal Park:  RP - Lawn 6_Smith Ct1_R1,Royal Park,RP - Lawn 6_Smith Ct1_R1,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.94565942520038 -37.796347199359644),384,Other Park Locations:  Pleasance Gardens,Other Park Locations,Pleasance Gardens,,Y,Y,,N,N,L,,N,N,N,"101,395",0,"101,395",6.92606023,254
POINT (144.9825785045082 -37.84036620841432),61,Fawkner Park:  FP - Lawn 15_SB7_SUB1,Fawkner Park,FP - Lawn 15_SB7_SUB1,,Y,Y,,Y,N,M,Y,N,N,N,"103,756",0,"587,543",89.91851442,139
POINT (144.9427921184255 -37.78398401734769),263,Royal Park:  RP - Ross Straw Field 2 Sth_Ct,Royal Park,RP - Ross Straw Field 2 Sth_Ct,,Y,N,,N,N,L,Y,Y,N,N,"107,426",0,0,0,0
POINT (144.97284434800815 -37.796310238750024),347,Other Park Locations:  Canning & Palmerston,Other Park Locations,Canning & Palmerston,,Y,Y,,N,N,L,,Y,N,N,"107,223",0,"107,223",10.15483954,258
POINT (144.95675744610313 -37.778734622101226),270,Royal Park:  RP - Lawn 9_McAlister Ct_F3,Royal Park,RP - Lawn 9_McAlister Ct_F3,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.96257078751347 -37.78589363291953),"1,342",Princes Park:  PP - Nets (2) Tennis Courts,Princes Park,PP - Nets (2) Tennis Courts,,Y,N,,N,N,M,Y,N,N,N,"107,696",0,0,0,0
POINT (144.92264481163645 -37.79804493075953),172,Holland Park:  HP - Ct_F1,Holland Park,HP - Ct_F1,,Y,N,,N,N,M,Y,N,N,Y,"105,220",0,"517,639",93.93444073,97
