poi_id,Name,Theme,Sub Theme,lat,lon
110,Alexandra Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8206051404251,144.971796067365
111,Parliament Railway Station,Transport,Railway Station,-37.811606178717106,144.97301726315598
112,Richmond Railway Station (Richmond) - Train stop,Transport,Railway Station,-37.8238992659834,144.98940075166402
113,Jolimont-MCG Railway Station (East Melbourne) - Train stop,Transport,Railway Station,-37.816565181166794,144.983641003377
114,North Melbourne Recreation Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7988345257153,144.941452061463
115,J.J Holland Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7982358832177,144.923837074813
116,Macaulay Railway Station (North Melbourne) - Train stop,Transport,Railway Station,-37.794964001386,144.93619075663202
117,Kensington Railway Station,Transport,Railway Station,-37.793914012637295,144.93071020751802
118,South Kensington Railway Station,Transport,Railway Station,-37.7997270537735,144.925837749713
119,Royal Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.790617425658105,144.95383424064698
120,Royal Childrens Hospital,Health Services,Public Hospital,-37.7942060847278,144.950048264678
121,Royal Park Railway Station,Transport,Railway Station,-37.7812684282825,144.951667833921
122,Princes Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7870161727156,144.961115214367
123,National Sports Museum,Place Of Assembly,Art Gallery/Museum,-37.818954490946204,144.98466980938102
124,Shrine of Rembrance Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8320733992876,144.97362836446501
125,Shrine of Remembrance,Community Use,Public Buildings,-37.8302080020387,144.97344191362302
126,Royal Botanic Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8306631583233,144.980850432751
127,Yarra Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.820469374101,144.986671109615
128,Icehouse,Leisure/Recreation,Indoor Recreation Facility,-37.8121881194053,144.93568401887302
129,Parliament Railway Station,Transport,Railway Station,-37.8121572789173,144.973742010011
130,Parliament Railway Station,Transport,Railway Station,-37.812762111355205,144.973433796529
