water_id,poi_id,Description,lat,lon,distance
358,120,Drinking Fountain - Leaf Type - Dog Bowl - Fawkner Park,-37.83991852159856,144.9812959600913,9.673444928533947
359,120,Drinking Fountain - Leaf Type - Dog Bowl - Fawkner Park,-37.84340547205925,144.98237034518792,13.629346369918377
360,120,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,-37.83912302483119,144.98029597307354,16.773305497851972
361,121,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.813586967977756,144.98034053985918,4.05460619772275
362,121,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81276680167682,144.9815543655956,7.071939141902311
363,121,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.81165168802,144.98072416956458,8.526278744955514
364,122,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.813586967977756,144.98034053985918,6.2331135416567545
365,122,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81536210793982,144.97970486535712,7.51330738672717
366,122,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.8148665286666,144.97934123758301,7.965449025629937
367,123,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82024273028082,144.95962780503942,2.2315578994345806
368,123,Drinking Fountain - Drinking Fountain - Type 1,-37.82018203006011,144.96060794598628,8.429434143172756
369,123,Drinking Fountain - Drinking Fountain - Type 1,-37.819560089031846,144.96060041327846,9.350028466417573
370,124,Drinking Fountain - Treated Timber Drinking Fountain - Batman Park,-37.82220232720067,144.956603131736,16.224426520990246
371,124,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81906773607154,144.95451978482612,20.322458352305897
372,124,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.821867236140854,144.9572554993872,20.476617433585655
373,125,Drinking Fountain - Drinking Fountain - Type 1,-37.819560089031846,144.96060041327846,2.6625735591149486
374,125,Drinking Fountain - Drinking Fountain - Type 1,-37.82018203006011,144.96060794598628,6.493832850945846
375,125,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82024273028082,144.95962780503942,8.458411144153086
376,126,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.817751132891175,144.96687276249168,7.213556000114496
377,126,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.815447719564624,144.96705501075527,10.400073736809443
378,126,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.817906690815356,144.96632571147111,10.516636721884579
379,127,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81678974689995,144.96933696934119,1.96631021551309
380,127,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81506309138496,144.9689920380753,9.409497304704265
