poi_id,Feature Name,Theme,Sub Theme,Address,lat,lon,interest
190,Urban Design Double Hotplate,BBQ,BBQ,"Southern Pavilion, Fawkner Park Commercial Road  South Yarra",-37.84238715335643,144.98190820378719,bbq
191,Barbeque (Docklands - not categorised),BBQ,BBQ,87 Navigation Drive  Docklands,-37.8196434391829,144.94607342928472,bbq
192,Urban Design Double Hotplate,BBQ,BBQ,Toilet Alexandra Park Alexandra Avenue  Melbourne,-37.82744680370207,144.98167521577298,bbq
193,Urban Design Single Hotplate,BBQ,BBQ,41 Bayswater Road  Kensington,-37.79375198566206,144.9240405712571,bbq
194,Fawkner Park Toddler Play Space,BBQ,BBQ,"Northern Pavilion, Fawkner Park Toorak Road  South Yarra",-37.83916336440944,144.98066702168146,bbq
195,Urban Design Double Hotplate,BBQ,BBQ,30 Import Lane  Docklands,-37.820493534582035,144.9448712214091,bbq
196,Brick Single Hotplate,BBQ,BBQ,49 Buncle Street  North Melbourne,-37.79363713198853,144.94031809548238,bbq
197,Unknown model - JJ Holland Park,BBQ,BBQ,85 Kensington Road  Kensington,-37.79744246261081,144.92337066256667,bbq
198,Urban Design Double Hotplate - Royal Park,BBQ,BBQ,10 Brens Drive  Parkville,-37.785452334972696,144.94618801740162,bbq
199,Docklands Barbeque - All Chromed - Docklands Community Gardens,BBQ,BBQ,67 Geographe Street  Docklands,-37.820548532452655,144.94532195365602,bbq
200,Urban Design Double Hotplate - Alexandra Park,BBQ,BBQ,Alexandra Park Alexandra Avenue  Melbourne,-37.824622419369724,144.97794586267926,bbq
201,Urban Design Double Hotplate - Alexandra Park,BBQ,BBQ,Alexandra Park Alexandra Avenue  Melbourne,-37.824522100638255,144.97786611955524,bbq
202,Urban Design Double Hotplate Spanning Two Units - Alexandra Park,BBQ,BBQ,Alexandra Park Alexandra Avenue  Melbourne,-37.82444422516884,144.97780235114124,bbq
203,Urban Design Single Hotplate,BBQ,BBQ,278 Sturt Street  Southbank,-37.82997400851409,144.96515999273242,bbq
204,Urban Design Single Hotplate,BBQ,BBQ,1 Southbank Boulevard  Southbank,-37.8207420265614,144.9625030210556,bbq
205,Urban Design Single Hotplate,BBQ,BBQ,2 Youlden Street  Kensington,-37.78854743311894,144.9262295451231,bbq
206,Urban Design Double Hotplate,BBQ,BBQ,Toilet Alexandra Park Alexandra Avenue  Melbourne,-37.827363072815096,144.98143799649569,bbq
207,Fawkner Park Toddler Play Space,BBQ,BBQ,"Northern Pavilion, Fawkner Park Toorak Road  South Yarra",-37.839218232817345,144.9807240464157,bbq
208,Urban Design Single Hotplate,BBQ,BBQ,66 Galada Avenue  Parkville,-37.779486423346185,144.93986020424185,bbq
209,Urban Design Double Hotplate,BBQ,BBQ,Toilet Alexandra Park Alexandra Avenue  Melbourne,-37.82727009584159,144.98119239501509,bbq
210,Urban Design Double Hotplate - Alexandra Park,BBQ,BBQ,Alexandra Park Alexandra Avenue  Melbourne,-37.82412641908022,144.97752654664086,bbq
211,Urban Design Double Hotplate,BBQ,BBQ,Toilet Alexandra Park Alexandra Avenue  Melbourne,-37.82753298227228,144.98190805151714,bbq
212,Urban Design Double Hotplate,BBQ,BBQ,Toilet Alexandra Park Alexandra Avenue  Melbourne,-37.82778303187395,144.98295298063218,bbq
213,Enterprize Park,BBQ,BBQ,469 Flinders Street  Melbourne,-37.820239066615784,144.95991043872718,bbq
214,Urban Design Double Hotplate,BBQ,BBQ,Toilet Alexandra Park Alexandra Avenue  Melbourne,-37.82768003600854,144.98241701976514,bbq
215,Urban Design Double Hotplate,BBQ,BBQ,"Flagstaff Gardens Tennis Courts, Flagstaff Gardens 311 William Street  West Melbourne",-37.809554686968546,144.95495159325938,bbq
216,Urban Design Single Hotplate,BBQ,BBQ,11 Old Poplar Road  Parkville,-37.782001069469686,144.956631830226,bbq
217,Urban Design Double Hotplate Spanning Two Units - Alexandra Park,BBQ,BBQ,Alexandra Park Alexandra Avenue  Melbourne,-37.824260053373365,144.9776466199352,bbq
218,Urban Design Single Hotplate,BBQ,BBQ,276 Sturt Street  Southbank,-37.8296480355972,144.9649660259626,bbq
219,Urban Design Single Hotplate - Fawkner Park,BBQ,BBQ,99 Pasley Street  South Yarra,-37.84077622109281,144.98393881060923,bbq
